日期,收盘,开盘,高,低,交易量,涨跌幅
1/2/2014,97.92,97.92,98.02,96.31,16.10M,2.00%
1/3/2014,95.88,97.04,97.92,95.65,18.60M,-2.08%
1/6/2014,96.19,95.88,97.72,95.1,20.38M,0.32%
1/7/2014,95.88,97.34,97.34,95.65,15.02M,-0.32%
1/8/2014,97.34,97.92,98.11,97.01,18.87M,1.52%
1/9/2014,95.69,97.04,97.24,95.3,22.48M,-1.70%
1/10/2014,96.54,95.3,97.04,95.1,18.43M,0.89%
1/13/2014,96.38,96.93,97.04,95.49,13.33M,-0.17%
1/14/2014,95.69,94.52,96.19,94.52,13.54M,-0.72%
1/15/2014,98.69,96.85,98.79,96.66,19.90M,3.14%
1/16/2014,99.47,103.55,104.03,99.28,26.29M,0.79%
1/17/2014,102.67,99.47,102.87,99.47,33.74M,3.22%
1/20/2014,101.02,102.48,102.48,100.93,23.64M,-1.61%
1/21/2014,100.93,102.38,102.38,100.25,20.12M,-0.09%
1/22/2014,102.28,100.93,102.48,100.54,28.01M,1.34%
1/23/2014,101.31,103.26,103.26,100.93,20.67M,-0.95%
1/24/2014,97.24,97.04,99.96,96.66,41.28M,-4.02%
1/27/2014,94.99,95.49,96.38,93.4,43.69M,-2.31%
1/28/2014,97.63,95.26,98.79,95.1,45.07M,2.78%
1/29/2014,103.26,101.31,103.55,100.25,58.85M,5.77%
1/30/2014,105.49,100.93,105.78,100.93,40.65M,2.16%
2/4/2014,99.08,102.87,103.93,98.79,48.71M,-6.08%
2/5/2014,99.08,101.31,101.7,97.53,34.07M,0.00%
2/6/2014,98.69,99.57,100.05,97.04,29.64M,-0.39%
2/7/2014,101.8,98.69,102.96,98.69,34.09M,3.15%
2/10/2014,103.55,102.96,104.13,102.09,32.77M,1.72%
2/11/2014,102.87,104.03,104.23,101.9,25.16M,-0.66%
2/12/2014,104.42,102.58,104.71,102.19,27.53M,1.51%
2/13/2014,104.81,104.81,106.36,103.84,26.33M,0.37%
2/14/2014,106.46,106.17,107.53,105.88,28.37M,1.57%
2/17/2014,112.57,108.69,112.67,108.5,32.28M,5.74%
2/18/2014,113.45,113.64,113.64,109.27,29.60M,0.78%
2/19/2014,113.06,113.25,114.71,112.18,24.69M,-0.34%
2/20/2014,109.56,110.63,111.02,109.18,42.75M,-3.10%
2/21/2014,112.67,110.92,112.96,109.85,30.04M,2.84%
2/24/2014,112.18,113.35,113.35,110.82,15.86M,-0.43%
2/25/2014,111.7,113.35,114.12,111.5,25.98M,-0.43%
2/26/2014,113.74,112.57,114.03,112.28,25.02M,1.83%
2/27/2014,119.66,113.74,119.95,113.74,47.88M,5.20%
2/28/2014,120.82,122.28,122.47,119.36,31.66M,0.97%
3/3/2014,116.84,117.81,119.75,116.65,33.77M,-3.29%
3/4/2014,118.88,118.3,120.53,118.1,27.41M,1.75%
3/5/2014,120.82,120.34,122.47,120.34,22.39M,1.63%
3/6/2014,123.25,122.96,123.44,122.28,21.45M,2.01%
3/7/2014,122.37,122.28,125.38,121.31,25.34M,-0.71%
3/10/2014,119.66,120.24,122.47,118.39,30.95M,-2.21%
3/11/2014,119.85,120.72,121.5,119.66,18.86M,0.16%
3/12/2014,116.84,118.39,118.49,115,46.49M,-2.51%
3/13/2014,114.12,116.45,116.74,113.83,34.95M,-2.33%
3/14/2014,109.47,112.77,113.06,106.36,68.39M,-4.07%
3/17/2014,106.07,108.5,108.5,104.42,51.56M,-3.11%
3/18/2014,112.18,106.75,112.38,106.75,48.04M,5.76%
3/19/2014,110.15,112.38,112.67,108.11,35.57M,-1.81%
3/20/2014,108.3,106.85,111.89,105.1,45.40M,-1.68%
3/21/2014,111.12,108.69,111.7,107.82,37.68M,2.60%
3/24/2014,113.93,114.22,114.9,112.86,30.50M,2.53%
3/25/2014,108.4,112.38,112.86,108.3,40.13M,-4.85%
3/26/2014,107.53,108.79,109.18,106.94,32.26M,-0.80%
3/27/2014,101.22,103.06,103.55,99.57,84.67M,-5.87%
3/28/2014,103.84,102.09,104.42,101.9,34.96M,2.59%
3/31/2014,104.71,105.2,105.2,101.51,29.43M,0.84%
4/1/2014,109.37,105.58,109.66,104.81,31.25M,4.45%
