日期,收盘,开盘,高,低,交易量,涨跌幅
4/2/2014,108.98,111.21,111.89,108.59,25.98M,-0.36%
4/3/2014,106.07,109.66,110.53,105,27.87M,-2.67%
4/4/2014,101.9,101.31,103.16,99.37,47.91M,-3.93%
4/7/2014,97.34,97.82,98.99,96.46,57.18M,-4.47%
4/8/2014,98.89,97.04,100.64,96.62,42.10M,1.59%
4/9/2014,101.61,101.51,102.87,100.34,36.92M,2.75%
4/10/2014,109.27,103.84,109.76,102.96,64.27M,7.54%
4/11/2014,101.9,103.84,105.68,101.51,56.38M,-6.74%
4/14/2014,102.09,101.31,104.03,99.57,31.70M,0.19%
4/15/2014,100.15,102.87,103.64,100.05,20.88M,-1.90%
4/16/2014,101.22,101.12,102.87,100.93,20.64M,1.07%
4/17/2014,101.99,102.77,103.26,101.22,20.11M,0.76%
4/22/2014,101.8,102.48,102.77,101.12,16.81M,-0.19%
4/23/2014,102.67,104.42,105.58,102.58,26.87M,0.85%
4/24/2014,103.35,103.74,104.03,102.48,15.76M,0.66%
4/25/2014,101.61,103.74,103.74,101.41,16.46M,-1.68%
4/28/2014,98.69,99.28,100.15,98.02,24.49M,-2.87%
4/29/2014,98.89,97.04,99.28,96.89,36.50M,0.20%
4/30/2014,93.78,100.15,100.15,93.67,53.86M,-5.17%
5/2/2014,96.15,96.85,97.24,95.3,29.44M,2.53%
5/5/2014,95.61,97.01,97.04,95.1,19.22M,-0.56%
5/7/2014,91.96,94.68,94.68,91.22,40.74M,-3.82%
5/8/2014,91.92,90.64,92.11,90.37,31.93M,-0.04%
5/9/2014,92.93,91.8,93.67,90.25,21.22M,1.10%
5/12/2014,97.82,93.36,98.5,93.16,43.16M,5.26%
5/13/2014,98.5,99.37,100.73,97.92,27.22M,0.70%
5/14/2014,99.76,100.25,100.25,96.81,20.05M,1.28%
5/15/2014,105.58,106.75,108.69,104.71,51.69M,5.83%
5/16/2014,103.35,104.23,104.61,102.28,21.81M,-2.11%
5/19/2014,104.42,103.84,105.1,102.96,15.63M,1.04%
5/20/2014,108.59,106.26,108.69,105.58,31.91M,3.99%
5/21/2014,108.4,107.91,110.44,107.82,23.67M,-0.17%
5/22/2014,108.98,110.24,110.24,108.11,26.83M,0.54%
5/23/2014,107.82,108.98,109.66,107.23,18.97M,-1.06%
5/26/2014,108.11,108.69,109.27,107.04,12.03M,0.27%
5/27/2014,108.11,108.5,108.5,107.62,7.87M,0.00%
5/28/2014,109.95,110.24,110.63,108.5,23.85M,1.70%
5/29/2014,106.55,110.63,111.12,106.55,16.11M,-3.09%
5/30/2014,106.07,106.94,108.3,105.29,22.19M,-0.45%
6/3/2014,108.69,107.62,108.98,105.88,20.93M,2.47%
6/4/2014,105.97,108.69,108.69,105.78,12.88M,-2.50%
6/5/2014,105.2,106.75,107.23,104.52,15.33M,-0.73%
6/6/2014,105,106.75,107.72,104.91,16.50M,-0.19%
6/9/2014,107.33,105.78,107.53,105.58,17.61M,2.22%
6/10/2014,110.15,108.2,110.63,106.85,24.79M,2.63%
6/11/2014,112.96,111.6,113.06,110.44,26.99M,2.55%
6/12/2014,112.18,113.74,115.97,111.6,28.60M,-0.69%
6/13/2014,112.67,110.44,113.35,110.44,11.28M,0.44%
6/16/2014,113.15,113.54,114.42,112.67,11.76M,0.43%
6/17/2014,112.18,111.99,113.15,111.21,10.91M,-0.86%
6/18/2014,112.77,112.57,113.83,112.09,19.11M,0.53%
6/19/2014,112.38,113.74,114.51,111.7,14.23M,-0.35%
6/20/2014,112.38,112.77,112.86,111.7,14.51M,0.00%
6/23/2014,110.82,112.09,114.32,110.63,21.12M,-1.39%
6/24/2014,111.5,112.09,112.38,110.82,13.38M,0.61%
6/25/2014,111.7,113.45,113.45,111.12,15.62M,0.18%
6/26/2014,114.9,112.57,115,111.7,27.22M,2.86%
6/27/2014,114.9,114.51,115.39,113.06,15.67M,0.00%
6/30/2014,114.71,115.77,115.97,113.06,19.32M,-0.17%
7/2/2014,119.17,116.45,119.36,115.97,35.55M,3.89%
7/3/2014,121.01,118.88,121.5,118.39,22.44M,1.54%
7/4/2014,121.4,121.31,122.08,119.56,19.65M,0.32%
7/7/2014,121.69,121.89,122.18,120.14,12.22M,0.24%
7/8/2014,121.6,121.69,122.08,120.34,15.60M,-0.07%
7/9/2014,117.62,119.17,119.27,116.55,35.64M,-3.27%
7/10/2014,118.59,118.69,119.56,118.01,14.10M,0.82%
7/11/2014,118.01,117.13,119.17,117.13,13.28M,-0.49%
7/14/2014,119.17,119.17,119.95,118.2,10.28M,0.98%
7/15/2014,120.14,120.14,120.24,119.46,12.42M,0.81%
7/16/2014,120.63,119.75,121.21,119.56,12.88M,0.41%
7/17/2014,119.85,120.43,120.82,119.17,14.63M,-0.65%
7/18/2014,119.27,118.78,119.56,117.91,10.52M,-0.48%
7/21/2014,117.91,118.59,119.17,117.72,11.64M,-1.14%
7/22/2014,120.43,118.39,120.63,118.2,23.33M,2.14%
7/23/2014,120.63,121.11,121.6,119.75,13.46M,0.17%
7/24/2014,120.82,121.79,121.79,120.63,15.86M,0.16%
7/25/2014,121.21,121.4,121.79,120.43,19.95M,0.32%
7/28/2014,125.09,121.99,125.58,121.31,28.62M,3.20%
7/29/2014,126.55,126.93,127.03,124.9,21.55M,1.17%
7/30/2014,124.7,126.64,127.03,124.02,22.12M,-1.46%
7/31/2014,124.61,125.96,126.74,124.41,20.13M,-0.07%
8/1/2014,124.41,123.25,125.67,122.47,18.20M,-0.16%
8/4/2014,125.38,124.22,125.87,123.83,13.29M,0.78%
8/5/2014,129.55,126.16,130.04,124.99,19.71M,3.33%
8/6/2014,128.97,129.07,129.36,127.13,19.57M,-0.45%
8/7/2014,124.51,128.58,128.58,124.31,29.54M,-3.46%
8/8/2014,125.96,124.61,127.61,124.51,19.91M,1.16%
8/11/2014,128.39,127.61,129.46,126.93,17.53M,1.93%
8/12/2014,129.36,130.04,130.04,128.88,14.91M,0.76%
8/13/2014,129.26,129.07,129.65,126.35,22.75M,-0.08%
8/14/2014,126.25,127.13,128.88,125.38,43.48M,-2.33%
8/15/2014,126.45,126.93,126.93,125.28,20.45M,0.16%
8/18/2014,124.99,126.93,127.13,123.63,22.04M,-1.15%
8/19/2014,125.96,126.16,126.93,125.28,17.03M,0.78%
8/20/2014,128,126.93,128.49,126.35,17.21M,1.62%
8/21/2014,126.84,128,128.39,125.67,17.32M,-0.91%
8/22/2014,126.84,128.1,128.1,125.96,12.54M,0.00%
8/25/2014,125.96,126.16,126.84,125.19,9.88M,-0.69%
8/26/2014,125.58,125.96,125.96,124.51,12.35M,-0.30%
8/27/2014,124.61,125.67,126.25,124.41,13.84M,-0.77%
8/28/2014,124.02,126.16,126.16,123.15,18.54M,-0.47%
8/29/2014,122.76,122.86,123.54,121.89,16.34M,-1.02%
9/1/2014,122.86,123.25,124.51,122.76,9.73M,0.08%
9/2/2014,121.99,122.47,123.63,121.31,12.87M,-0.71%
9/3/2014,125.48,122.28,125.67,122.08,23.80M,2.86%
9/4/2014,125.58,126.06,126.06,124.31,12.45M,0.08%
9/5/2014,124.51,126.06,126.06,123.73,10.16M,-0.85%
9/8/2014,122.37,123.73,124.51,121.31,20.15M,-1.72%
9/10/2014,118.39,119.56,120.14,117.81,30.30M,-3.25%
9/11/2014,118.59,116.94,120.34,116.65,24.77M,0.17%
9/12/2014,119.27,118.2,121.01,118.2,18.59M,0.57%
9/15/2014,119.75,119.36,120.82,118.59,14.48M,0.40%
9/16/2014,117.42,118.69,119.66,117.23,16.14M,-1.95%
9/17/2014,120.34,118.59,121.01,118.59,20.32M,2.49%
9/18/2014,119.27,119.66,120.92,118.49,17.46M,-0.89%
9/19/2014,121.5,121.21,123.05,119.36,39.94M,1.87%
9/22/2014,117.52,120.53,121.01,117.42,27.14M,-3.28%
9/23/2014,115.39,116.45,117.13,114.32,26.56M,-1.81%
9/24/2014,115,113.93,115.29,113.93,18.01M,-0.34%
9/25/2014,114.42,116.65,116.74,114.12,21.36M,-0.50%
9/26/2014,113.06,113.25,113.45,112.18,28.10M,-1.19%
9/29/2014,112.18,112.09,112.86,109.47,32.64M,-0.78%
9/30/2014,112.09,111.99,113.35,110.05,25.08M,-0.08%
10/3/2014,112.57,111.21,113.35,109.66,28.84M,0.43%
10/6/2014,116.16,113.06,116.65,112.47,21.77M,3.19%
10/7/2014,116.07,116.16,118.3,115.29,16.84M,-0.08%
10/8/2014,115,114.51,115.97,114.03,10.59M,-0.92%
10/9/2014,114.42,116.45,116.65,113.64,14.58M,-0.50%
10/10/2014,112.28,112.57,113.83,112.18,13.60M,-1.87%
10/13/2014,111.02,111.12,112.28,110.44,16.02M,-1.12%
10/14/2014,110.05,109.85,112.57,109.85,18.54M,-0.87%
10/15/2014,111.02,111.12,112.38,110.44,14.92M,0.88%
10/16/2014,109.66,110.63,111.5,109.27,18.46M,-1.22%
10/17/2014,109.37,110.63,111.41,108.98,15.07M,-0.26%
10/20/2014,110.92,110.82,111.31,109.85,11.56M,1.42%
10/21/2014,111.99,112.28,112.96,111.31,12.02M,0.96%
10/22/2014,115.77,114.51,115.97,113.54,17.52M,3.38%
10/23/2014,116.07,115.77,116.36,115.09,13.04M,0.26%
10/24/2014,115.97,117.91,117.91,115.29,10.94M,-0.09%
10/27/2014,114.61,115.48,115.48,113.25,12.73M,-1.17%
10/28/2014,116.55,115.58,116.84,114.8,12.24M,1.69%
10/29/2014,118.1,117.62,118.39,116.84,19.03M,1.33%
10/30/2014,118.3,118.98,118.98,116.74,15.11M,0.17%
10/31/2014,119.95,119.85,120.34,118.69,18.43M,1.39%
11/3/2014,120.14,121.31,121.31,119.46,13.47M,0.16%
11/4/2014,119.07,119.95,120.92,118.88,13.22M,-0.89%
11/5/2014,120.34,119.95,120.72,118.78,12.03M,1.07%
11/6/2014,119.95,121.31,121.31,119.66,10.07M,-0.32%
11/7/2014,119.46,119.36,120.82,117.91,15.46M,-0.41%
11/10/2014,121.99,121.31,123.05,121.31,21.29M,2.12%
11/11/2014,123.83,122.86,124.7,122.37,20.60M,1.51%
11/12/2014,125.38,124.9,126.16,123.83,21.96M,1.25%
11/13/2014,125.67,121.31,126.64,121.01,52.96M,0.23%
11/14/2014,128,125.67,128.29,125.28,30.98M,1.85%
11/17/2014,125.28,130.04,130.91,124.9,33.96M,-2.13%
11/18/2014,122.08,126.25,126.25,121.79,23.73M,-2.55%
11/19/2014,120.72,121.31,122.86,119.85,22.03M,-1.11%
11/20/2014,121.99,120.34,123.15,119.66,15.67M,1.05%
11/21/2014,120.53,122.66,122.66,120.34,17.91M,-1.20%
11/24/2014,121.79,122.47,123.25,121.01,25.37M,1.05%
11/25/2014,121.01,122.37,122.37,120.82,23.32M,-0.64%
11/26/2014,121.99,121.69,122.28,120.63,18.66M,0.81%
11/27/2014,121.4,121.99,122.08,120.92,11.37M,-0.48%
11/28/2014,120.34,121.89,122.08,119.95,13.03M,-0.87%
12/1/2014,116.74,118.1,118.88,115.39,28.08M,-2.99%
12/2/2014,116.07,116.26,118.3,115,29.70M,-0.57%
12/3/2014,114.22,116.16,117.13,114.03,30.84M,-1.59%
12/4/2014,114.71,114.51,116.36,114.42,27.62M,0.43%
12/5/2014,115.39,115.48,116.74,113.74,28.86M,0.59%
12/8/2014,115.09,116.94,117.13,114.12,22.70M,-0.26%
12/9/2014,112.38,113.74,114.32,112.18,26.15M,-2.35%
12/10/2014,112.09,111.12,112.28,109.66,27.23M,-0.26%
12/11/2014,110.05,111.6,111.6,109.66,19.15M,-1.82%
12/12/2014,110.34,111.41,111.99,109.95,19.50M,0.26%
12/15/2014,108.59,109.66,109.95,107.91,16.77M,-1.59%
12/16/2014,104.81,107.72,108.59,104.42,41.28M,-3.48%
12/17/2014,102.19,105.2,105.58,101.41,44.22M,-2.50%
12/18/2014,108.59,104.91,108.88,104.81,48.64M,6.26%
12/19/2014,112.28,113.54,114.03,111.6,44.04M,3.40%
12/22/2014,109.66,113.93,113.93,108.01,27.80M,-2.33%
12/23/2014,109.47,109.66,111.31,107.53,20.69M,-0.17%
12/24/2014,109.37,108.01,110.05,108.01,6.49M,-0.09%
12/29/2014,110.05,112.09,112.09,108.88,11.00M,0.62%
12/30/2014,109.95,111.31,111.31,109.27,12.75M,-0.09%
12/31/2014,109.18,109.18,110.44,108.79,9.41M,-0.70%
1/2/2015,109.47,110.24,110.24,108.01,10.86M,0.27%
1/5/2015,110.15,110.15,111.89,109.47,21.81M,0.62%
1/6/2015,116.45,110.63,116.94,110.24,43.68M,5.72%
1/7/2015,120.72,119.85,120.82,118.98,40.86M,3.67%
1/8/2015,123.54,123.73,124.02,121.89,35.64M,2.34%
1/9/2015,123.44,125.19,125.19,122.76,31.84M,-0.08%
1/12/2015,123.34,125.19,125.19,122.47,17.88M,-0.08%
1/13/2015,124.02,121.6,124.51,121.5,16.84M,0.55%
1/14/2015,122.28,122.96,123.93,121.4,16.84M,-1.40%
1/15/2015,123.15,121.5,123.25,120.43,16.00M,0.71%
1/16/2015,118.3,121.31,121.31,118.01,25.23M,-3.94%
1/17/2015,124,124,124,124,-,4.82%
1/19/2015,119.36,120.63,121.5,118.59,21.60M,-3.74%
1/20/2015,120.43,119.85,121.11,119.66,10.19M,0.90%
1/21/2015,124.9,122.47,125.09,121.5,33.79M,3.71%
1/22/2015,127.71,126.64,128.1,125.87,39.06M,2.25%
1/23/2015,128.78,130.62,130.91,127.23,29.97M,0.84%
1/26/2015,132.95,132.66,133.05,130.33,34.95M,3.24%
1/27/2015,131.98,133.92,133.92,129.07,24.46M,-0.73%
1/28/2015,132.85,132.85,132.95,130.72,16.22M,0.66%
1/29/2015,130.62,131.98,132.37,129.85,14.64M,-1.68%
1/30/2015,128.1,131.5,131.5,125.67,29.38M,-1.93%
2/2/2015,131.79,126.06,132.76,126.06,17.65M,2.88%
2/3/2015,131.11,131.5,133.24,129.07,14.38M,-0.52%
2/4/2015,129.94,131.5,132.08,129.36,9.50M,-0.89%
2/5/2015,131.2,132.95,132.95,129.07,18.01M,0.97%
2/6/2015,130.23,132.76,132.76,130.04,10.91M,-0.74%
2/9/2015,128.68,129.65,129.65,127.9,12.44M,-1.19%
2/10/2015,129.07,128.68,130.04,128.1,14.00M,0.30%
2/11/2015,127.71,130.04,130.04,127.52,12.13M,-1.05%
2/12/2015,125.77,126.16,127.03,124.22,24.03M,-1.52%
2/13/2015,126.35,125.77,128.39,125.28,15.47M,0.46%
2/16/2015,126.64,126.25,128.39,126.16,10.17M,0.23%
2/17/2015,126.93,126.16,128.1,126.16,8.38M,0.23%
2/18/2015,126.06,127.23,127.52,125.67,7.29M,-0.69%
2/23/2015,130.82,128.78,131.3,127.23,24.23M,3.78%
2/24/2015,131.11,131.98,132.37,129.85,17.22M,0.22%
2/25/2015,131.79,130.04,132.37,129.65,18.94M,0.52%
2/26/2015,131.59,130.33,132.37,130.33,21.66M,-0.15%
2/27/2015,131.88,131.98,132.66,130.72,17.96M,0.22%
3/2/2015,132.66,132.66,132.95,130.04,12.69M,0.59%
3/3/2015,131.3,133.15,133.92,131.01,17.62M,-1.03%
3/4/2015,129.36,130.43,130.72,129.07,12.38M,-1.48%
3/5/2015,128.2,128.2,130.62,127.9,12.32M,-0.90%
3/6/2015,127.81,128.29,129.17,127.13,13.87M,-0.30%
3/9/2015,128.29,128.1,129.75,126.93,13.16M,0.38%
3/10/2015,127.23,128.88,128.88,126.84,13.02M,-0.83%
3/11/2015,127.81,127.61,128.58,127.23,14.17M,0.46%
3/12/2015,127.9,127.03,128.29,126.35,17.08M,0.07%
3/13/2015,129.65,129.07,130.82,127.81,15.45M,1.37%
3/16/2015,131.59,129.07,132.27,127.81,22.71M,1.50%
3/17/2015,129.85,133.24,133.44,129.17,19.18M,-1.32%
3/18/2015,131.88,130.52,133.24,130.23,22.93M,1.56%
3/19/2015,140.71,133.92,141.01,132.66,64.09M,6.70%
3/20/2015,138.39,142.07,144.4,136.93,71.27M,-1.65%
3/23/2015,140.91,139.84,142.17,138.48,30.77M,1.82%
3/24/2015,138.77,142.17,142.27,138.48,16.68M,-1.52%
3/25/2015,138.48,138.77,140.81,137.42,20.82M,-0.21%
3/26/2015,136.64,137.71,138.58,136.44,18.60M,-1.33%
3/27/2015,137.71,138.77,138.77,136.15,15.82M,0.78%
3/30/2015,140.42,141.49,142.46,139.74,23.52M,1.97%
3/31/2015,142.85,146.93,146.93,141.88,24.09M,1.73%
4/1/2015,143.63,144.21,144.21,142.27,17.17M,0.55%
4/2/2015,145.37,144.5,145.57,142.95,14.68M,1.21%
4/8/2015,149.93,147.51,150.42,146.54,36.67M,3.14%
4/9/2015,155.17,154.3,165.36,153.82,66.85M,3.49%
4/10/2015,157.02,156.24,159.15,153.43,37.10M,1.19%
4/13/2015,165.46,160.12,165.95,157.7,43.72M,5.38%
4/14/2015,156.44,156.63,159.06,151.78,58.99M,-5.45%
4/15/2015,152.94,155.27,155.27,150.9,46.32M,-2.24%
4/16/2015,155.27,151.58,156.73,150.42,32.52M,1.52%
4/17/2015,154.11,153.33,155.95,153.33,21.77M,-0.75%
4/20/2015,148.58,155.17,155.17,147.99,28.45M,-3.59%
4/21/2015,154.4,148.48,155.08,148.48,23.26M,3.92%
4/22/2015,157.89,153.91,159.44,153.91,25.28M,2.26%
4/23/2015,156.14,159.93,160.71,155.95,22.78M,-1.11%
4/24/2015,156.82,156.63,158.09,154.79,19.14M,0.44%
4/27/2015,157.79,156.82,160.03,156.82,19.96M,0.62%
4/28/2015,158.76,157.31,159.44,156.24,20.24M,0.61%
4/29/2015,159.35,159.44,160.51,157.7,20.72M,0.37%
4/30/2015,156.14,159.15,159.15,155.95,21.43M,-2.01%
5/4/2015,153.33,154.79,156.34,152.94,22.30M,-1.80%
5/5/2015,152.94,153.82,156.05,151.1,19.54M,-0.25%
5/6/2015,151.39,150.42,154.49,150.42,19.53M,-1.01%
5/7/2015,148.48,150.42,151.29,147.31,19.85M,-1.92%
5/8/2015,149.45,151.39,153.33,149.16,18.11M,0.65%
5/11/2015,153.91,150.71,155.76,150.71,20.80M,2.98%
5/12/2015,152.36,155.27,157.02,152.07,21.88M,-1.01%
5/13/2015,152.17,152.36,154.88,151.29,19.52M,-0.12%
5/14/2015,156.53,157.7,159.06,155.27,25.89M,2.87%
5/15/2015,157.5,157.6,158.76,156.24,21.64M,0.62%
5/18/2015,156.34,157.89,158.38,155.66,14.01M,-0.74%
5/19/2015,156.63,157.5,157.5,155.56,12.58M,0.19%
5/20/2015,153.91,156.44,157.02,153.43,16.46M,-1.74%
5/21/2015,152.17,151.39,153.23,151.39,18.03M,-1.13%
5/22/2015,154.11,154.2,155.17,152.55,13.98M,1.27%
5/26/2015,154.11,157.12,157.41,153.82,20.91M,0.00%
5/27/2015,153.23,154.88,154.88,152.46,16.38M,-0.57%
5/28/2015,150.61,154.49,154.49,149.06,24.29M,-1.71%
5/29/2015,151.1,151.49,153.62,150.13,25.15M,0.33%
6/1/2015,151.49,151.1,153.72,149.55,14.86M,0.26%
6/2/2015,152.55,151.58,153.33,150.42,14.76M,0.70%
6/3/2015,153.43,153.33,154.2,152.65,13.95M,0.58%
6/4/2015,153.14,154.79,154.79,150.13,21.29M,-0.19%
6/5/2015,150.13,153.14,153.33,149.93,15.07M,-1.97%
6/8/2015,150.52,148.67,151.29,147.6,16.90M,0.26%
6/9/2015,150.42,150.42,151.2,148.77,14.26M,-0.07%
6/10/2015,148.67,151.97,151.97,148.48,13.48M,-1.16%
6/11/2015,149.74,150.81,151,149.16,13.42M,0.72%
6/12/2015,152.55,151.39,152.85,150.32,12.36M,1.88%
6/15/2015,150.61,153.62,153.72,150.03,12.40M,-1.27%
6/16/2015,149.55,149.45,150.9,148.96,9.64M,-0.70%
6/17/2015,149.74,152.07,152.07,149.06,13.21M,0.13%
6/18/2015,149.74,149.93,151,148.48,8.86M,0.00%
6/19/2015,149.64,151,151.2,149.45,13.68M,-0.07%
6/22/2015,152.36,151.1,153.23,150.03,14.33M,1.82%
6/23/2015,153.43,154.3,154.3,151.87,13.93M,0.70%
6/24/2015,158.86,154.49,158.96,153.91,21.82M,3.54%
6/25/2015,157.21,158.47,158.76,156.63,13.79M,-1.04%
6/26/2015,155.17,157.02,157.02,154.49,19.39M,-1.30%
6/29/2015,148.58,154.49,155.17,145.57,28.30M,-4.25%
6/30/2015,150.13,147.51,151.39,146.73,19.86M,1.04%
7/2/2015,151.87,150.42,153.23,150.42,22.64M,1.16%
7/3/2015,150.52,150.9,151.68,148.48,13.17M,-0.89%
7/6/2015,142.17,149.16,151.39,135.86,47.56M,-5.55%
7/7/2015,140.42,145.57,145.57,137.32,27.02M,-1.23%
7/8/2015,130.82,137.32,137.32,127.52,72.91M,-6.84%
7/9/2015,141.69,133.34,143.92,133.34,45.44M,8.31%
7/10/2015,144.5,145.57,148.96,143.92,36.07M,1.98%
7/13/2015,146.05,145.57,147.12,141.78,18.86M,1.07%
7/14/2015,147.22,147.51,148.77,145.57,18.06M,0.80%
7/15/2015,145.57,148.19,148.19,143.72,15.57M,-1.12%
7/16/2015,145.57,144.79,146.05,142.66,13.05M,0.00%
7/17/2015,149.06,147.31,149.74,146.15,13.96M,2.40%
7/20/2015,150.9,151.39,153.23,150.52,16.12M,1.23%
7/21/2015,151.97,152.75,152.75,150.03,10.84M,0.71%
7/22/2015,149.93,151.39,151.39,148.48,10.29M,-1.34%
7/23/2015,149.93,151.87,151.87,148.87,11.39M,0.00%
7/24/2015,147.02,148.48,148.48,146.05,11.38M,-1.94%
7/27/2015,141.3,145.86,146.34,140.71,21.26M,-3.89%
7/28/2015,142.17,138.39,145.28,136.93,25.15M,0.62%
7/29/2015,140.13,141.59,142.17,138.29,22.69M,-1.43%
7/30/2015,138.58,141.3,142.17,138.29,15.64M,-1.11%
7/31/2015,140.42,139.84,140.81,138.29,14.41M,1.33%
8/3/2015,139.74,139.74,140.52,137.9,11.54M,-0.48%
8/4/2015,138.77,138,139.74,137.03,16.43M,-0.69%
8/5/2015,138.19,137.8,138.48,136.35,11.76M,-0.42%
8/6/2015,136.74,139.45,139.45,135.09,14.19M,-1.05%
8/7/2015,137.9,134.89,138.19,134.89,10.79M,0.85%
8/10/2015,138.58,135.86,138.97,134.5,11.27M,0.49%
8/11/2015,136.64,138.58,141.59,136.44,15.36M,-1.40%
8/12/2015,130.91,135.86,136.25,129.94,39.62M,-4.19%
8/13/2015,139.84,133.82,141.2,133.34,41.73M,6.82%
8/14/2015,139.16,140.71,141.1,138.48,16.24M,-0.49%
8/17/2015,137.8,139.55,139.55,136.15,17.21M,-0.98%
8/18/2015,135.28,138.29,140.04,135.09,12.76M,-1.83%
8/19/2015,135.47,135.47,137.22,134.5,16.70M,0.14%
8/20/2015,132.17,133.53,134.31,131.01,25.92M,-2.44%
8/21/2015,127.71,128.1,129.46,126.16,37.57M,-3.37%
8/24/2015,121.31,124.22,124.99,121.31,47.66M,-5.01%
8/25/2015,127.03,121.5,131.5,120.34,50.91M,4.72%
8/26/2015,124.8,128,128.49,124.22,31.86M,-1.76%
8/27/2015,128.29,130.82,130.91,123.44,42.91M,2.80%
8/28/2015,126.84,131.01,132.17,126.16,34.24M,-1.13%
8/31/2015,127.9,128.58,129.65,125.67,19.69M,0.84%
9/1/2015,123.44,127.81,128.49,123.25,20.42M,-3.49%
9/2/2015,123.63,121.5,126.64,121.5,26.12M,0.15%
9/4/2015,123.63,126.06,126.35,122.86,18.27M,0.00%
9/7/2015,122.66,122.86,125.48,122.08,20.90M,-0.78%
9/8/2015,125.58,122.28,126.84,121.4,23.65M,2.38%
