日期,收盘,开盘,高,低,交易量,涨跌幅
1/4/2016,144.69,146.93,147.51,144.31,16.05M,-2.23%
1/5/2016,143.04,144.4,146.05,142.27,16.17M,-1.14%
1/6/2016,141.69,141.39,142.56,140.81,15.61M,-0.94%
1/7/2016,136.06,140.33,141.69,135.86,23.66M,-3.97%
1/8/2016,138.39,136.64,139.45,136.64,18.56M,1.71%
1/11/2016,133.92,134.12,137.12,133.63,22.36M,-3.23%
1/12/2016,132.08,132.95,135.67,131.88,22.08M,-1.37%
1/13/2016,133.34,133.05,135.86,132.95,23.86M,0.95%
1/14/2016,133.05,131.5,134.41,131.01,26.51M,-0.22%
1/15/2016,132.95,133.15,135.28,132.27,23.97M,-0.08%
1/18/2016,131.98,131.01,133.53,130.33,21.92M,-0.73%
1/19/2016,135.67,131.98,135.86,131.98,22.60M,2.80%
1/20/2016,131.4,132.85,133.53,129.85,26.44M,-3.15%
1/21/2016,129.17,132.17,134.6,129.17,30.54M,-1.70%
1/22/2016,134.89,132.08,135.57,132.08,24.55M,4.43%
1/25/2016,140.04,135.86,140.42,135.28,31.15M,3.82%
1/26/2016,137.61,137.9,139.26,136.44,25.34M,-1.74%
1/27/2016,136.35,139.65,140.23,134.89,27.40M,-0.92%
1/28/2016,137.42,136.35,139.16,135.28,24.08M,0.78%
1/29/2016,140.62,136.93,140.71,136.93,28.33M,2.33%
2/1/2016,142.66,141.98,142.75,140.52,20.46M,1.45%
2/2/2016,141.3,143.33,143.33,139.74,17.21M,-0.95%
2/3/2016,137.42,138,138,135.86,22.33M,-2.75%
2/4/2016,137.71,138.77,138.87,137.32,16.31M,0.21%
2/5/2016,139.65,138.48,140.23,137.9,12.72M,1.41%
2/11/2016,131.88,133.15,134.6,130.14,36.20M,-5.56%
2/12/2016,129.36,128.78,130.91,128.2,24.88M,-1.91%
2/15/2016,134.12,132.66,134.5,131.3,21.70M,3.68%
2/16/2016,135.18,134.12,136.25,134.12,15.53M,0.79%
2/17/2016,134.12,136.83,137.32,133.24,17.26M,-0.78%
2/18/2016,138.09,137.8,138.29,135.09,20.44M,2.96%
2/19/2016,137.03,136.83,138.48,136.15,12.41M,-0.77%
2/22/2016,137.51,136.83,138,136.35,9.93M,0.35%
